fras	volym per månad	3 mån	YoY	konkurrens	toppmånad
rotavdrag 2026	18100	0%	236%	Low	Dec 2025
fuktmätare	6600	23%	0%	High	Sep 2025
kap och gersåg	6600	0%	0%	High	May 2026
krysslaser	3600	50%	24%	High	Nov 2025
lasermätare	2900	21%	0%	High	Nov 2025
räkna ut kvadratmeter	2400	0%	-34%	Low	Sep 2025
byggfläkt	1600	0%	-18%	High	Jan 2026
jordfelsbrytare löser ut	1300	0%	0%	Low	Nov 2025
renovera badrum kostnad	1300	14%	-38%	Medium	Sep 2025
slipa parkettgolv	1300	14%	-38%	Medium	Sep 2025
byta fönster kostnad	1000	48%	-19%	High	Sep 2025
dränera hus	1000	0%	-45%	Medium	Sep 2025
dränering av hus	1000	0%	-45%	Medium	Sep 2025
renovera fönster	1000	23%	-33%	Medium	Jul 2026
bygga trappa	880	0%	-38%	High	Sep 2025
byta tak kostnad	880	14%	-23%	High	Sep 2025
daggpunkt	880	-28%	-28%	Low	Sep 2025
fuktmätare trä	880	48%	30%	High	Jul 2026
renovera trappa	880	23%	-55%	High	Sep 2025
skruvautomat	880	49%	-12%	High	Mar 2026
slipa golv själv	880	23%	-63%	Medium	Sep 2025
lägga klickgolv	720	22%	-18%	Medium	Sep 2025
renovera kök kostnad	720	23%	-33%	Medium	Sep 2025
tvätta fasad	720	-28%	-28%	High	Apr 2026
dränering kostnad	590	0%	-45%	Medium	Sep 2025
lägga laminatgolv	590	23%	-18%	Medium	Oct 2025
måla om huset kostnad	590	0%	-33%	Medium	Mar 2026
u värde	590	23%	-19%	Low	Sep 2025
fasadfärg bäst i test	480	-33%	-19%	High	Apr 2026
krypgrund isolering	480	23%	-19%	High	Sep 2025
renovera badrum själv	480	22%	-34%	High	Sep 2025
tilläggsisolera vind	480	84%	51%	Medium	Feb 2026
golv i källare	390	52%	-33%	High	Sep 2025
isolera krypgrund	390	52%	-33%	High	Sep 2025
dränera källare	320	0%	-33%	Medium	Sep 2025
inreda källare	320	50%	-46%	High	Sep 2025
kontrollplan mall	320	0%	-56%	Low	Sep 2025
renovera hus	320	24%	-33%	Low	Sep 2025
renovera källare	320	24%	-33%	Low	Sep 2025
rotavdrag hur mycket	320	53%	-56%	Low	Sep 2025
trädäck på mark	320	-34%	129%	High	May 2026
vad kostar dränering	320	23%	-33%	Medium	Sep 2025
byta fönster själv	260	23%	0%	High	Mar 2026
dränering runt hus	260	52%	0%	Medium	Sep 2025
fukt i krypgrund	260	24%	-33%	High	Sep 2025
byta elcentral	210	55%	-19%	Medium	Sep 2025
fuktkvotsmätare	210	24%	0%	High	Jul 2026
grannemedgivande	210	-19%	55%	Low	Mar 2026
grannemedgivande mall	210	-19%	-47%	Low	Mar 2026
hygrometer bäst i test	210	24%	-19%	High	Sep 2025
lägga plåttak själv	210	-19%	50%	Medium	May 2026
sättningar hus	210	0%	-35%	Medium	Feb 2026
takvinkel	210	-19%	-19%	Low	Sep 2025
gersåg bäst i test	170	0%	53%	High	Jul 2026
isolera vägg inifrån	170	56%	-46%	Medium	Jan 2026
måla fasad kostnad	170	-35%	-58%	Medium	Mar 2026
avstånd mellan plintar altan	140	-33%	-18%	Low	May 2026
hygrometer inomhus	140	0%	-36%	High	Jan 2026
lägga golv själv	140	55%	-19%	High	Aug 2026
måla fasad temperatur	140	-36%	-47%	Low	Apr 2026
måla ute temperatur	140	-20%	-56%	Low	Oct 2025
slagborrmaskin bäst i test	140	22%	-58%	High	Sep 2025
sticksåg bäst i test	140	-21%	-48%	High	May 2026
takläckage	140	25%	-29%	Medium	Feb 2026
tilläggsisolera fasad	140	-18%	-57%	High	Sep 2025
beräkna takvinkel	110	56%	0%	Low	Apr 2026
beräkna u värde	110	0%	-36%	Low	Oct 2025
bärlina altan dimension	110	-67%	-36%	Low	May 2026
hur många liter färg per kvm	110	0%	-35%	Low	Sep 2025
kondens på fönster insida	110	50%	50%	Low	Nov 2025
mögel i krypgrund	110	-36%	-59%	High	Sep 2025
varmgrund	110	57%	-21%	Low	Feb 2026
beräkna betong	90	-18%	-47%	Low	Sep 2025
byggavfuktare	90	80%	29%	High	Nov 2025
byta hängrännor	90	0%	-18%	Medium	Jul 2026
dränera själv	90	-22%	-36%	Medium	Mar 2026
isolera vind kostnad	90	29%	-18%	Medium	Feb 2026
kakla badrum själv	90	29%	-36%	High	Sep 2025
laminat eller parkett	90	0%	-36%	Medium	Oct 2025
lägga klinker själv	90	-22%	-22%	High	Mar 2026
renovera fasad	90	-67%	-57%	Medium	Sep 2025
renovera gammalt hus	90	0%	-36%	Low	Oct 2025
renovera golv	90	0%	-55%	High	Sep 2025
trädäck på plattor	90	-55%	-76%	High	May 2026
vinkelslip bäst i test	90	0%	22%	High	May 2026
altan utan bygglov	70	-22%	-50%	Low	Apr 2026
dra el själv	70	0%	-71%	Low	Sep 2025
golv på betongplatta	70	0%	-36%	High	Sep 2025
läckande tak	70	25%	-44%	Medium	Sep 2025
renovera kök själv	70	0%	-44%	Low	Mar 2026
sprickor i husgrunden	70	57%	57%	Medium	Apr 2026
sättningssprickor	70	240%	240%	Low	Jul 2026
tigersåg bäst i test	70	80%	0%	High	Apr 2026
trädäck på gräsmatta	70	-36%	0%	High	Apr 2026
dränering kostnad per meter	50	0%	0%	Medium	May 2026
dränering villa kostnad	50	-29%	-29%	Medium	Mar 2026
golvvärme el kostnad	50	0%	-50%	High	Nov 2025
isolera källare invändigt	50	67%	67%	Medium	Jan 2026
räkna ut kvadratmeter rum	50	40%	-22%	Low	Apr 2026
